ime,spol,stranka,starost
"Verbič, Dušan",M,SMC,nad 65
"Kontič, Bojan",M,,50-65
"Dolenc, Nataša",F,,Ni oznake
"Krajcar, Urban",M,,Ni oznake
"Hvala, Arja Ela",F,,Ni oznake
"Ribič, Nevenka",F,,Ni oznake
"Lah, Marija",F,,Ni oznake
"Jerkič, Lidija",F,,Ni oznake
"Godina, Duška",F,,Ni oznake
"Šumenjak, Branko",M,,Ni oznake
"Mlinar, Angelika",F,,Ni oznake
