ime,spol,stranka,starost
"Möderndorfer, Jani",M,LMŠ,50-65
"Gorišek, Metka",F,,Ni oznake
"Ješovnik, Peter",M,,Ni oznake
"Maučec, Marjan",M,,Ni oznake
"Bregant, Tina",F,,Ni oznake
"Režun, Bojan",M,,Ni oznake
"Dolinšek, Marjan",M,,50-65
"Kovač, Nataša",F,,Ni oznake
"Žnidar, Ljubo",M,SDS,50-65
"Merjasec, Leon",M,SDS,50-65
"Kos, Gregor",M,,Ni oznake
"Flerin, Polona",F,,Ni oznake
"Mihelič, Aleš",M,,Ni oznake
"Podgoršek, Jože",M,,Ni oznake
"Židan, Gregor",M,SD,50-65
"Pahor, Borut",M,,50-65
"Geršak, Peter",M,,Ni oznake
"Farkaš Lainščak, Jerneja",F,,Ni oznake
"Ratej, Zlatko",M,,Ni oznake
