ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u108	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Podkrajšek, Bojan	M	1968
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u109	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Hainz, Primož	M	1947
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u110	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Breznik, Franc	M	1970
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u111	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Hainz, Primož	M	1947
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u112	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Irgl, Eva	F	1976
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u113	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Hainz, Primož	M	1947
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u114	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SMC	Stranka modernega centra		Šergan, Vojka	F	1957
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u115	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Hainz, Primož	M	1947
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u116	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Pojbič, Marijan	M	1961
ParlaMint-SI_2017-05-08-SDZ7-Izredna-43.u117	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 43, 8.5.2017	2017-05-08	2017-05-08	Lower house	7		43			Reference	Chairperson	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Hainz, Primož	M	1947
