ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI_2017-10-05-SDZ7-Izredna-48.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 48, 5.10.2017	2017-10-05	2017-10-05	Lower house	7		48			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-10-05-SDZ7-Izredna-48.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 48, 5.10.2017	2017-10-05	2017-10-05	Lower house	7		48			Reference	Regular	MP	SMC	Stranka modernega centra		Cerar, Miro	M	1963
ParlaMint-SI_2017-10-05-SDZ7-Izredna-48.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 48, 5.10.2017	2017-10-05	2017-10-05	Lower house	7		48			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2017-10-05-SDZ7-Izredna-48.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 48, 5.10.2017	2017-10-05	2017-10-05	Lower house	7		48			Reference	Regular	notMP				Vraničar Erman, Mateja	F	-
ParlaMint-SI_2017-10-05-SDZ7-Izredna-48.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 48, 5.10.2017	2017-10-05	2017-10-05	Lower house	7		48			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
